x,nc,na
1.95,1,1
0.73,1,2
6.42,1,3
4.72,1,4
4.23,2,1
1.12,2,2
2.65,2,3
3.18,2,4
2.62,3,1
1.97,3,2
0.78,3,3
0.98,3,4
2.1,4,1
0.8,4,2
19.82,4,3
14.42,4,4
2.67,5,1
0.51,5,2
2.18,5,3
4.07,5,4
2.9,6,1
0.9,6,2
2.6,6,3
5.76,6,4
3.36,7,1
1.9,7,2
0.98,7,3
13.02,7,4
3.95,8,1
0.67,8,2
3.72,8,3
2.55,8,4
6.57,9,1
1.9,9,2
5.75,9,3
1.43,9,4
1.65,10,1
7.32,10,2
6.07,10,3
1.39,10,4
2.48,11,1
3,11,2
9.03,11,3
2.03,11,4
2.19,12,1
5.25,12,2
3.2,12,4
3.35,13,1
2,13,2
3.25,13,4
2.86,14,1
2.58,14,2
8.07,15,1
5.28,15,2
2.05,16,1
1,16,2
4.02,17,1
6.14,17,2
2.38,18,1
16.93,18,2
0.6,19,1
